Item,Code,Description,Purpose,Specifications,Options,Points,Price
PLATINUM SHIRT,MC0001,A basic blue T-Shirt with platinum logo in front and back. It also includes website at the back.,Clothing & Apparel for promotion.,100% COTTON FABRIC,"S, M, L, XL",150,130
PLATINUM WHITE DRI-FIT SHIRT V25,"01345, 01346, 01347, 01348",A premium white dri-fit Shirt with platinum logo in front and back. It also includes website at the back.,Clothing & Apparel for promotion.,100% COTTON FABRIC,"S, M, L, XL",750,600
PLATINUM BLACK PREMIUM SHIRT,"MC0146, MC0147, MC0148, MC0149",A premium black T-Shirt with platinum logo in front and back. It also includes website at the back.,Clothing & Apparel for promotion.,100% COTTON FABRIC,"S, M, L, XL",750,600
PLATINUM PREMIUM SHIRT,MC0085,A premium blue T-Shirt with platinum logo in front and back. It also includes website at the back.,Clothing & Apparel for promotion.,100% COTTON FABRIC,"S, M, L, XL",750,600
PLATINUM DRI-FIT POLO SHIRT,MC0087,A Dri-FIT Polo Shirt with platinum logo in front and back. It also includes website at the back.,Clothing & Apparel for promotion.,100% COTTON FABRIC,"S, M, L, XL",800,650
PLATINUM MOTOCROSS JERSEY,MC0088,A Motocross Jersey with platinumlogo in front and back. It also includes website at the back.,Clothing & Apparel for promotion.,100% COTTON FABRIC,"S, M, L, XL",850,750
PLATINUM WHITE MOTOCROSS JERSEY,"MC0150, MC0151, MC0152, MC0153, MC0154",A Motocross Jersey with platinumlogo in front and back. It also includes website at the back.,Clothing & Apparel for promotion.,100% COTTON FABRIC,"S, M, L, XL, 2XL",850,750
PLATINUM POLO,MC0003C,A Business Polo with platinum logo in front and back.,"Uniform for Merchandisers, Sales Staff and Management.","DARK BLUE, GRAY, RED","S, M, L, XL",800,700
PLATINUM ARM WARMER,MC0118,Sleeve type clothing commonly used when riding a motorcycle to avoid sunburn.,Clothing & Apparel for promotion.,"ONE PAIR. 80% POLYESTER, 20% SPANDEX. RED AND WHITE AND BLUE COLOR.",FREE SIZE,75,100
PLATINUM BALACLAVA,162,"Unisex formfitting design with stretch fabric that covers the head, face and neck.",Clothing & Apparel for promotion.,100% BREATHABLE FABRIC,FREE SIZE,85,100
PLATINUM RIDER'S FACE MASK,MC0071,A full sublimation print tube mask.,Clothing & Apparel for promotion.,100% POLYESTER,FREE SIZE,65,75
"BLUE,WHITE,RED TRUCKER CAP",MC0135,TRUCKER CAP SNAPBACK FEATURE,Clothing & Apparel for promotion.,"POLYESTER MESH BACK STRUCTURED, MID PROFILE PRE- CURVED VISOR",ONE SIZE,100,150
"BLACK,WHITE,RED TRUCKER CAP",MC0136,TRUCKER CAP SNAPBACK FEATURE,Clothing & Apparel for promotion.,"POLYESTER MESH BACK STRUCTURED, MID PROFILE PRE- CURVED VISOR",ONE SIZE,100,150
PLATINUM BALLPEN,MC0006A,Basic click pen with platinum logo,Writing for Sales Staff or for giveaway.,BLACK INK BALLPEN. BLUE AND SILVER COLOR,N/A,15,15
PLATINUM COIN BANK,MC0519,"A small container look like a drum, with a narrow hole on the top through which to put coins with platinum logo",For giveaways,HARD PLASTIC,N/A,150,120
PLATINUM WHITE PAINT STEEL RACK 4-LAYER,275,A white painted 4 layer steel rack with Platinum Logo sintra board.,For DR/Dealers and Personal use,"MADE OF HIGH-QUALITY, DURABLE STEEL, ENSURING LONG- TERM STABILITY AND RESISTANCE TO HEAVY LOADS",N/A,"1,250","1,080.00"
PLATINUM KEYCHAIN,GA0013,A premium keychain with carabiner lock to surely secure car and motorcycle keys.,Clothing & Apparel for promotion.,100% POLYESTER WITH STEEL LOCK,N/A,35,50
